location,axlegroup,startdate,enddate,mean,median,0-1 tonn,1-2 tonn,2-3 tonn,3-4 tonn,4-5 tonn,5-6 tonn,6-7 tonn,7-8 tonn,8-9 tonn,9-10 tonn,10-11 tonn,11-12 tonn,12-13 tonn,13-14 tonn,14-15 tonn,15-16 tonn,16-17 tonn,17-18 tonn,18-19 tonn,19-20 tonn,20-21 tonn,21-22 tonn,22-23 tonn,23-24 tonn,24-25 tonn,25-26 tonn,26-27 tonn,27-28 tonn,28-29 tonn,29-30 tonn
Øysand,Enkeltaksler,2016-08-08,2016-08-31,5.287645472294346,5.38,328,4822,4043,4290,7249,9824,7695,6294,3055,1354,548,132,33,11,4,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Øysand,Boggiaksler,2016-08-08,2016-08-31,10.385908695399966,10.55,43,523,351,832,770,668,1276,1151,1024,1243,1436,1557,1350,1024,753,712,1047,719,455,181,81,28,10,4,1,0,0,0,0,0
Øysand,Trippelaksler,2016-08-08,2016-08-31,19.59245,21.130000000000003,0,0,0,1,0,0,1,1,4,11,2,12,31,32,27,17,20,25,27,39,43,75,100,79,32,12,4,5,0,0
Øysand,Enkeltaksler,2016-08-31,2016-09-30,5.369603276210454,5.43,399,5470,5125,5665,9851,12836,9906,8409,4408,1765,743,176,37,27,6,2,1,2,1,0,1,1,0,0,0,0,0,0,0,0
Øysand,Boggiaksler,2016-08-31,2016-09-30,10.418291319094326,10.6,66,744,439,905,974,1075,1623,1363,1202,1482,1811,2011,1746,1259,886,905,1157,1081,712,234,81,38,16,5,1,1,0,0,1,0
Øysand,Trippelaksler,2016-08-31,2016-09-30,19.285234741784034,20.57,0,0,0,1,1,0,0,14,8,14,9,21,35,34,38,36,38,44,50,50,55,82,129,98,61,21,5,3,1,1
Øysand,Enkeltaksler,2016-09-30,2016-10-31,5.433198730936562,5.51,416,6134,4865,5223,8573,12303,9732,8384,4520,2075,1025,283,78,33,12,3,0,2,0,0,1,0,0,0,1,3,1,1,0,0
Øysand,Boggiaksler,2016-09-30,2016-10-31,10.81710626911315,11.05,111,778,343,784,869,803,1306,1306,1116,1346,1606,1912,1755,1308,977,950,1125,1076,781,405,173,77,15,3,2,0,0,0,1,0
Øysand,Trippelaksler,2016-09-30,2016-10-31,19.437267759562843,20.785,0,0,1,0,1,0,1,3,18,12,13,12,29,30,30,29,38,39,32,32,57,72,105,75,56,21,11,5,4,2
Øysand,Enkeltaksler,2016-10-31,2016-11-30,5.626444009975677,5.75,309,7278,4880,4741,6632,11571,10111,8445,5610,2740,1657,696,176,64,29,9,4,2,0,1,0,1,0,0,0,0,0,0,0,0
