location,startdate,enddate,B-faktor,0.0-0.2,0.2-0.4,0.4-0.6,0.6-0.8,0.8-1.0,1.0-1.2,1.2-1.4,1.4-1.6,1.6-1.8,1.8-2.0,2.0-2.2,2.2-2.4,2.4-2.6,2.6-2.8,2.8-3.0,3.0-3.2,3.2-3.4,3.4-3.6,3.6-3.8,3.8-4.0,4.0-4.2,4.2-4.4,4.4-4.6,4.6-4.8,4.8-5.0,5.0-5.2,5.2-5.4,5.4-5.6,5.6-5.8,5.8-6.0,6.0-6.2,6.2-6.4,6.4-6.6,6.6-6.8,6.8-7.0,7.0-7.2,7.2-7.4,7.4-7.6,7.6-7.8,7.8-8.0,8.0-8.2,8.2-8.4,8.4-8.6,8.6-8.8,8.8-9.0,9.0-9.2,9.2-9.4,9.4-9.6,9.6-9.8,9.8-10.0
Sørbryn,2022-10-14,2022-10-20,0.5776886672499312,2553,1224,670,517,451,445,306,191,156,100,78,56,35,14,18,5,4,8,7,7,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tangensvingen,2022-10-14,2022-10-20,0.8498722890559256,811,722,473,478,266,191,146,129,88,79,57,64,42,39,55,21,32,17,8,8,6,4,4,1,3,3,1,0,1,0,1,2,0,1,1,0,0,1,1,1,0,0,0,0,0,0,0,0,1,0
Sørbryn,2023-02-21,2023-02-27,1.77189441901856,1113,783,595,471,426,395,321,259,246,249,221,166,145,163,132,120,126,116,98,122,131,102,98,84,79,70,60,51,49,35,30,24,27,11,20,11,9,16,7,5,3,3,2,1,1,3,3,2,1,0
Tangensvingen,2023-02-21,2023-02-27,0.8003771667589898,1527,629,347,290,303,274,185,130,100,82,63,52,45,42,39,36,32,21,28,21,10,9,11,11,8,6,1,2,2,1,1,1,0,2,0,0,1,2,0,0,1,0,0,0,0,0,0,0,0,0
Sørbryn,2023-04-17,2023-04-23,0.8578697314254472,1590,1277,888,750,557,434,347,330,281,203,171,127,93,63,39,25,16,7,7,4,5,5,3,3,5,3,4,3,3,7,3,1,4,5,4,5,2,1,0,2,2,3,1,2,2,0,0,1,1,0
Tangensvingen,2023-04-17,2023-04-23,0.6129295670764633,1984,710,376,294,290,235,193,121,93,85,70,54,47,37,40,19,25,5,5,3,6,2,1,2,1,0,0,0,0,0,0,1,0,2,0,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0
Sørbryn,2023-10-16,2023-10-22,0.9047571926916382,3729,467,373,279,194,143,147,144,170,155,150,156,139,127,113,122,78,63,63,56,43,37,41,19,22,11,10,13,9,6,5,1,9,3,6,2,1,1,1,0,1,2,1,2,3,3,0,1,0,0
Tangensvingen,2023-10-16,2023-10-22,0.5571426555407347,2014,776,411,510,266,162,126,101,74,53,58,49,36,30,23,21,15,16,7,2,7,0,1,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sørbryn,2024-02-12,2024-02-18,1.5331912316891017,1035,760,649,538,416,423,394,319,264,231,214,183,157,152,120,137,84,87,72,61,61,46,42,36,33,33,25,21,20,24,15,10,8,9,5,8,7,3,8,5,4,4,6,4,2,3,5,4,2,0
Tangensvingen,2024-02-26,2024-03-03,0.3829211836509291,1968,964,447,214,154,97,70,45,43,28,19,19,7,10,4,7,4,1,1,1,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sørbryn,2024-04-18,2024-04-24,1.0008337594408603,1508,1351,843,637,492,381,335,337,263,232,191,146,110,107,103,93,56,33,29,25,11,15,9,17,14,7,10,11,9,5,2,6,5,4,2,4,2,0,1,0,0,1,1,4,0,0,0,0,1,0
Tangensvingen,2024-04-18,2024-04-24,0.6195917720852578,1632,674,455,512,280,146,108,79,93,51,43,45,36,27,19,35,19,14,16,7,7,2,5,1,2,2,2,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
Fredrikstadbrua,2024-02-24,2024-03-01,1.1010302738327946,769,847,942,672,469,441,437,357,233,208,153,128,117,78,60,47,40,45,30,31,24,24,15,11,10,10,4,7,3,5,2,2,1,1,3,0,0,1,0,2,0,1,0,1,1,0,0,0,2,0
