location,startdate,enddate,B-faktor,0.0-0.2,0.2-0.4,0.4-0.6,0.6-0.8,0.8-1.0,1.0-1.2,1.2-1.4,1.4-1.6,1.6-1.8,1.8-2.0,2.0-2.2,2.2-2.4,2.4-2.6,2.6-2.8,2.8-3.0,3.0-3.2,3.2-3.4,3.4-3.6,3.6-3.8,3.8-4.0,4.0-4.2,4.2-4.4,4.4-4.6,4.6-4.8,4.8-5.0,5.0-5.2,5.2-5.4,5.4-5.6,5.6-5.8,5.8-6.0,6.0-6.2,6.2-6.4,6.4-6.6,6.6-6.8,6.8-7.0,7.0-7.2,7.2-7.4,7.4-7.6,7.6-7.8,7.8-8.0,8.0-8.2,8.2-8.4,8.4-8.6,8.6-8.8,8.8-9.0,9.0-9.2,9.2-9.4,9.4-9.6,9.6-9.8,9.8-10.0
Øysand,2016-08-08,2016-08-31,0.48363601185963406,10125,5606,3316,2155,1574,1257,1055,660,470,260,123,61,26,23,15,6,6,1,3,3,3,2,0,2,1,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Øysand,2016-08-31,2016-09-30,0.5015395225300959,12474,7527,4266,2837,1978,1545,1404,1000,711,365,166,69,31,22,15,11,6,10,2,4,4,5,8,2,2,1,3,2,1,1,2,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0
Øysand,2016-09-30,2016-10-31,0.5500060049858095,11406,7345,3890,2890,2015,1722,1413,1100,771,466,335,176,96,56,32,18,12,9,7,5,5,6,2,5,2,1,1,2,2,2,1,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Øysand,2016-10-31,2016-11-30,0.6710947672603237,9657,6893,4080,3180,2266,1751,1471,1271,1051,793,540,355,319,200,114,70,52,32,24,20,6,7,7,7,5,5,4,5,5,3,2,2,0,2,0,0,0,2,0,1,0,0,2,1,0,0,0,0,1,0
Øysand,2016-11-30,2016-12-31,0.7428909961969137,7653,5287,3460,2457,2057,1463,1271,1055,914,724,613,414,348,237,177,112,77,49,30,22,13,16,11,4,6,4,6,6,2,4,6,4,1,2,3,1,4,1,1,0,1,0,2,0,0,1,1,0,0,0
Øysand,2016-12-31,2017-01-31,0.7547733063753087,8096,5745,3820,2794,2309,1769,1356,1199,1001,810,609,458,324,269,233,144,86,62,36,28,17,10,22,12,5,6,9,7,7,2,1,1,7,2,4,1,1,1,0,0,1,1,1,0,2,0,1,0,0,0
Øysand,2017-01-31,2017-02-28,0.7633858905468318,8159,5396,3772,2733,2302,1734,1328,1160,931,824,620,499,367,264,220,163,106,90,44,32,25,14,6,6,9,8,3,6,3,2,4,5,2,6,0,3,1,2,2,1,1,2,1,0,2,0,0,0,0,0
Øysand,2017-02-28,2017-03-31,0.8154851888450266,11008,5351,4198,3013,2612,2004,1550,1367,1143,960,823,651,495,469,372,285,231,194,151,75,75,39,28,22,13,13,13,8,7,2,3,7,6,2,2,4,2,0,3,0,3,1,1,2,2,1,2,0,0,0
Øysand,2017-03-31,2017-04-05,0.8099154184615179,1746,636,536,385,279,246,219,166,160,107,101,103,76,65,45,43,44,32,28,15,12,6,4,9,4,3,0,0,1,0,1,1,0,0,3,0,0,1,0,1,0,1,0,0,0,0,0,1,0,0
Øysand,2018-03-16,2018-03-16,0.726304902567865,257,69,46,40,33,27,16,17,7,10,13,6,2,6,4,1,3,1,4,6,1,1,1,2,7,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
