Ekvipasje,år,distanse,vekt,turer
3-akslet trekkvogn med 4-akslet tilhenger,2021,0.0,NaN,0
3-akslet trekkvogn med 5-akslet tilhenger,2021,0.0,NaN,0
4-akslet trekkvogn med 4-akslet tilhenger,2021,0.0,NaN,0
4-akslet trekkvogn med 5-akslet tilhenger,2021,40360.58430217907,61953.22077922078,164
3-akslet trekkvogn med 4-akslet tilhenger,2022,15436.052975431045,61431.05610561056,319
3-akslet trekkvogn med 5-akslet tilhenger,2022,0.0,NaN,0
4-akslet trekkvogn med 4-akslet tilhenger,2022,0.0,NaN,0
4-akslet trekkvogn med 5-akslet tilhenger,2022,86246.11081708071,65010.65573770492,361
3-akslet trekkvogn med 4-akslet tilhenger,2023,0.0,NaN,0
3-akslet trekkvogn med 5-akslet tilhenger,2023,223367.8866254192,15760.0,1339
4-akslet trekkvogn med 4-akslet tilhenger,2023,19246.645169858464,58774.29359355113,552
4-akslet trekkvogn med 5-akslet tilhenger,2023,141891.0573990954,54270.324054246965,878
3-akslet trekkvogn med 4-akslet tilhenger,2024,119224.58389013386,NaN,321
3-akslet trekkvogn med 5-akslet tilhenger,2024,201697.4791335943,NaN,554
4-akslet trekkvogn med 4-akslet tilhenger,2024,72014.01698325657,NaN,269
4-akslet trekkvogn med 5-akslet tilhenger,2024,66069.52301827064,NaN,302
