Sted,Startdato,Sluttdato,N 5.6,N 7.5,Absolutt endring i N,Prosentvis endring i N,ÅDTT 5.6,ÅDTT 7.5,Absolutt endring i ÅDTT,Prosentvis endring i ÅDTT,B-faktor 5.6,B-faktor 7.5,Absolutt endring i B-faktor,Prosentvis endring i B-faktor
Øysand,2016-08-08,2016-08-31,2751972.14,3031908.71,279936.57,10.17,2449.54,1458.42,-991.12,-40.46,0.22,0.37,0.15,66.42
Øysand,2016-08-31,2016-09-30,2964092.19,3268907.3,304815.11,10.28,2440.0,1471.07,-968.93,-39.71,0.24,0.39,0.15,64.52
Øysand,2016-09-30,2016-10-31,7599861.34,8399001.52,799140.17,10.52,2140.5,1300.41,-840.09,-39.25,0.69,1.13,0.44,63.96
Øysand,2016-10-31,2016-11-30,4263704.74,4742068.93,478364.19,11.22,2070.7,1221.7,-849.0,-41.0,0.4,0.67,0.27,68.24
Øysand,2016-11-30,2016-12-31,3540766.76,3966239.52,425472.75,12.02,1672.0,954.42,-717.58,-42.92,0.41,0.71,0.3,73.89
Øysand,2016-12-31,2017-01-31,3963841.5,4437057.18,473215.68,11.94,1817.06,1043.97,-773.1,-42.55,0.42,0.73,0.31,72.64
Øysand,2017-01-31,2017-02-28,4802532.47,5405966.67,603434.19,12.56,1984.21,1140.68,-843.54,-42.51,0.46,0.8,0.34,72.98
Øysand,2017-02-28,2017-03-31,5096997.61,5728409.04,631411.44,12.39,2079.84,1187.39,-892.45,-42.91,0.47,0.82,0.35,74.07
Øysand,2017-03-31,2017-04-05,4231846.08,4741094.91,509248.82,12.03,1765.6,1000.8,-764.8,-43.32,0.47,0.82,0.35,75.15
Øysand,2018-03-16,2018-03-16,2066955.4,2251861.94,184906.53,8.95,1078.0,612.0,-466.0,-43.23,0.39,0.69,0.29,75.07
Øysand,2018-05-22,2018-05-26,5082459.65,5485616.73,403157.08,7.93,2110.4,1288.6,-821.8,-38.94,0.49,0.79,0.3,62.76
Øysand,2018-06-11,2018-06-30,5698820.1,6156976.61,458156.51,8.04,2814.0,1623.3,-1190.7,-42.31,0.42,0.72,0.3,71.83
