location,startdate,enddate,3500.0-4465.0,4465.0-5430.0,5430.0-6395.0,6395.0-7360.0,7360.0-8325.0,8325.0-9290.0,9290.0-10255.0,10255.0-11220.0,11220.0-12185.0,12185.0-13150.0,13150.0-14115.0,14115.0-15080.0,15080.0-16045.0,16045.0-17010.0,17010.0-17975.0,17975.0-18940.0,18940.0-19905.0,19905.0-20870.0,20870.0-21835.0,21835.0-22800.0,22800.0-23765.0,23765.0-24730.0,24730.0-25695.0,25695.0-26660.0,26660.0-27625.0,27625.0-28590.0,28590.0-29555.0,29555.0-30520.0,30520.0-31485.0,31485.0-32450.0,32450.0-33415.0,33415.0-34380.0,34380.0-35345.0,35345.0-36310.0,36310.0-37275.0,37275.0-38240.0,38240.0-39205.0,39205.0-40170.0,40170.0-41135.0,41135.0-42100.0,42100.0-43065.0,43065.0-44030.0,44030.0-44995.0,44995.0-45960.0,45960.0-46925.0,46925.0-47890.0,47890.0-48855.0,48855.0-49820.0,49820.0-50785.0,50785.0-51750.0,51750.0-52715.0,52715.0-53680.0,53680.0-54645.0,54645.0-55610.0,55610.0-56575.0,56575.0-57540.0,57540.0-58505.0,58505.0-59470.0,59470.0-60435.0,60435.0-61400.0,61400.0-62365.0,62365.0-63330.0,63330.0-64295.0,64295.0-65260.0,65260.0-66225.0,66225.0-67190.0,67190.0-68155.0,68155.0-69120.0,69120.0-70085.0,70085.0-71050.0,71050.0-72015.0,72015.0-72980.0,72980.0-73945.0,73945.0-74910.0,74910.0-75875.0,75875.0-76840.0,76840.0-77805.0,77805.0-78770.0,78770.0-79735.0,79735.0-80700.0,80700.0-81665.0,81665.0-82630.0,82630.0-83595.0,83595.0-84560.0,84560.0-85525.0,85525.0-86490.0,86490.0-87455.0,87455.0-88420.0,88420.0-89385.0,89385.0-90350.0,90350.0-91315.0,91315.0-92280.0,92280.0-93245.0,93245.0-94210.0,94210.0-95175.0,95175.0-96140.0,96140.0-97105.0,97105.0-98070.0,98070.0-99035.0,99035.0-100000.0
Øysand,2016-08-08,2016-08-31,2568,737,395,221,281,427,616,647,745,1026,1174,1343,1532,1251,1291,1166,1056,1023,850,678,556,528,492,390,305,249,267,236,238,216,224,204,186,203,205,207,208,207,189,149,168,202,221,295,270,259,244,184,170,76,37,21,28,25,22,24,14,5,2,2,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Øysand,2016-08-31,2016-09-30,2752,942,519,310,374,567,699,782,1051,1426,1711,1814,1788,1756,1689,1690,1411,1335,1084,815,697,662,646,491,400,325,274,252,301,277,268,263,245,224,239,279,269,251,208,230,237,239,280,355,344,303,339,331,269,144,64,45,47,55,57,16,10,10,6,0,2,2,1,1,0,0,1,0,1,1,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Øysand,2016-09-30,2016-10-31,3046,911,511,374,394,492,712,826,895,1083,1530,1660,1763,1683,1615,1468,1356,1240,1108,853,730,723,636,593,488,357,331,266,264,269,260,232,267,264,248,217,230,245,243,233,227,214,274,289,347,298,306,248,220,206,141,74,47,51,65,47,47,27,18,10,7,3,6,4,1,0,1,0,0,1,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Øysand,2016-10-31,2016-11-30,3724,1114,497,349,261,370,555,671,781,901,1059,1290,1546,1554,1504,1473,1395,1336,1241,1051,901,788,746,647,634,513,443,366,312,230,214,265,253,249,252,254,239,277,293,269,267,257,254,240,249,239,269,257,244,159,191,157,166,134,69,39,40,54,30,24,11,12,8,5,3,3,2,1,1,1,0,0,0,0,0,0,1,0,2,0,0,0,3,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
Øysand,2016-11-30,2016-12-31,3315,875,376,252,195,269,373,587,601,743,793,1036,1217,1214,1234,1191,1187,1067,984,968,839,683,640,549,525,475,418,352,270,223,196,204,215,163,192,175,214,230,218,207,243,236,231,182,203,237,183,200,226,183,144,155,152,142,95,76,36,26,23,21,24,7,7,6,3,4,3,3,2,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0
Øysand,2016-12-31,2017-01-31,3431,956,411,284,231,291,416,624,679,742,863,1087,1303,1345,1380,1340,1211,1209,1191,1114,1006,780,723,656,597,528,417,408,300,242,252,212,193,230,189,217,216,231,235,209,238,236,230,234,223,210,214,243,222,188,142,134,136,139,110,74,61,43,38,44,31,26,19,14,20,13,14,4,3,6,2,1,1,1,1,0,1,0,0,0,0,0,0,0,2,1,0,0,1,1,1,0,0,2,0,0,0,0,0,0
Øysand,2017-01-31,2017-02-28,3866,1061,400,243,196,251,346,551,566,656,766,968,1144,1236,1249,1207,1126,1139,1126,1127,975,776,722,680,667,506,458,402,342,255,289,246,237,221,216,194,214,206,227,268,293,266,269,263,185,186,208,206,197,185,163,150,137,140,148,113,83,74,66,62,28,18,19,9,15,7,14,7,9,2,2,1,4,2,0,2,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Øysand,2017-02-28,2017-03-31,6087,1649,617,318,258,301,344,486,638,697,769,986,1153,1235,1318,1297,1316,1261,1243,1260,1232,959,782,760,712,656,566,503,457,355,307,240,222,236,233,222,224,233,255,238,305,289,298,319,267,253,227,234,257,258,257,170,198,165,185,215,172,134,94,72,45,23,25,19,23,17,8,9,15,11,8,8,4,2,1,2,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0
Øysand,2017-03-31,2017-04-05,1055,271,85,57,39,38,40,38,85,77,94,97,137,164,158,160,155,149,154,164,162,122,101,99,99,100,61,58,57,52,39,47,30,25,28,32,23,34,33,32,26,35,51,36,36,28,24,35,26,42,40,38,29,27,16,23,28,24,21,6,8,9,2,3,2,2,2,2,3,1,1,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Øysand,2018-03-16,2018-03-16,139,37,19,1,3,2,7,7,5,15,15,19,17,19,14,25,13,19,15,21,12,14,12,11,8,5,5,2,6,11,7,7,3,3,4,1,6,5,6,5,3,1,3,1,1,3,1,1,1,2,2,2,3,0,2,2,3,3,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Øysand,2018-04-03,2018-04-29,7545,1983,692,306,271,306,401,440,521,725,867,900,1000,1002,1064,968,1022,939,907,846,858,799,683,577,488,460,398,382,300,286,281,240,216,198,250,256,236,229,226,229,217,217,198,214,203,139,133,103,87,75,88,105,100,140,115,111,134,123,94,72,40,28,17,17,14,11,17,8,8,3,1,3,0,0,1,2,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,1,0
