Bin Edge Start,Bin Edge End,Count
15600.0,17913.333333333332,322
17913.333333333332,20226.666666666668,3
20226.666666666668,22540.0,2
22540.0,24853.333333333336,1
24853.333333333336,27166.666666666668,0
27166.666666666668,29480.0,2
29480.0,31793.333333333336,1
31793.333333333336,34106.66666666667,1
34106.66666666667,36420.0,1
36420.0,38733.333333333336,0
38733.333333333336,41046.66666666667,0
41046.66666666667,43360.0,0
43360.0,45673.333333333336,6
45673.333333333336,47986.66666666667,0
47986.66666666667,50300.0,0
50300.0,52613.333333333336,0
52613.333333333336,54926.66666666667,1
54926.66666666667,57240.0,1
57240.0,59553.333333333336,1
59553.333333333336,61866.66666666667,15
61866.66666666667,64180.0,131
64180.0,66493.33333333334,142
66493.33333333334,68806.66666666667,95
68806.66666666667,71120.0,32
71120.0,73433.33333333334,6
73433.33333333334,75746.66666666667,5
75746.66666666667,78060.0,1
78060.0,80373.33333333334,2
80373.33333333334,82686.66666666667,3
82686.66666666667,85000.0,3
