År,Måned,Snitt kapasitetsutnyttelse
2021,7,98.08033014196104
2021,8,97.90710164835164
2021,9,99.08625719769674
2021,10,99.19178449868714
2021,11,98.54264150943396
2021,12,94.03494824016563
2022,1,98.6739224071307
2022,2,97.43336223626078
2022,3,98.08460212201592
2022,4,98.4601964235027
2022,5,103.12918522811955
2022,6,102.49159508515923
2022,7,108.52177444069875
2022,8,99.42092629041976
2022,9,101.06039886039886
2022,10,100.03118409680208
2022,11,102.3243772127454
2022,12,100.41863223547433
2023,1,103.55580764488286
2023,2,97.76310931174088
2023,3,102.81491987179487
2023,4,92.55652205048635
2023,5,78.94601514812565
2023,6,38.93670538029386
2023,7,30.843233927481318
2023,8,39.604269786828404
2023,9,32.27070586301206
2023,10,35.20252468323755
2023,11,26.845999001874855
2023,12,26.959486648726973
