År,Måned,Snitt Max vekt
2021,7,75544.44278606965
2021,8,75444.39562443027
2021,9,76090.00986471251
2021,10,76555.61670480549
2021,11,75883.98659517427
2021,12,75230.48240165632
2022,1,75308.77188443295
2022,2,76466.06965648854
2022,3,76706.33651120846
2022,4,76292.6536160957
2022,5,76102.17547000895
2022,6,77576.33838523009
2022,7,75402.02116402116
2022,8,76689.21850899742
2022,9,76086.84561891516
2022,10,77619.64128173116
2022,11,76403.21739130435
2022,12,75547.73352643012
2023,1,71721.47663551402
2023,2,74998.69442484122
2023,3,76442.94967781528
2023,4,75379.48200352378
2023,5,76204.54119193689
2023,6,76869.5266838932
2023,7,75804.20340733092
2023,8,73902.23797305966
2023,9,74315.51884794579
2023,10,74143.41829085458
2023,11,77436.83954619124
2023,12,78083.85734265734
