location,startdate,enddate,mean,median,std,5.0-5.2,5.2-5.5,5.5-5.8,5.8-6.0,6.0-6.2,6.2-6.5,6.5-6.8,6.8-7.0,7.0-7.2,7.2-7.5,7.5-7.8,7.8-8.0,8.0-8.2,8.2-8.5,8.5-8.8,8.8-9.0,9.0-9.2,9.2-9.5,9.5-9.8,9.8-10.0
Øysand,2016-08-08,2016-08-31,6.533810630264305,6.52,0.8058263734915969,109,218,294,340,342,347,331,353,309,284,218,143,98,13,0,0,0,0,0,0
Øysand,2016-08-31,2016-09-30,6.553687528140477,6.53,0.8196056911918115,143,285,373,410,409,503,405,418,371,384,323,207,124,26,0,0,0,0,0,0
Øysand,2016-09-30,2016-10-31,6.7066050260787105,6.7,0.7975176613078984,91,191,267,342,380,427,485,436,400,397,322,249,144,75,0,0,0,0,0,0
Øysand,2016-10-31,2016-11-30,6.974561531007751,6.96,0.814338410071044,24,74,173,280,330,383,406,448,427,399,389,307,227,139,100,22,0,0,0,0
Øysand,2016-12-31,2017-01-31,7.108171730515192,7.1,0.881207132369427,26,86,113,202,276,358,292,362,368,355,375,311,253,166,133,86,23,0,0,0
Øysand,2017-01-31,2017-02-28,7.150472972972973,7.1,0.8895576552616544,11,48,105,182,314,380,362,376,352,337,328,280,261,203,149,106,54,0,0,0
Øysand,2017-02-28,2017-03-31,7.398245351570848,7.36,0.9115760590196132,0,20,75,161,228,374,432,429,400,421,447,400,340,306,257,185,141,63,0,0
Øysand,2017-03-31,2017-04-05,7.596471571906354,7.59,0.8543669594300546,0,0,0,11,17,33,42,67,60,45,60,67,50,40,42,31,23,9,1,0
Øysand,2018-03-16,2018-03-16,6.597413793103448,6.385,1.2667438033233185,4,4,9,3,3,5,7,0,5,2,2,1,3,0,1,3,1,0,1,1
Øysand,2018-04-03,2018-04-29,7.281052934407366,7.17,1.223903603462969,56,112,184,200,207,229,221,290,278,247,218,181,150,182,153,144,132,122,80,52
Øysand,2018-06-11,2018-06-30,7.4933922829582,7.41,1.2878907843760046,48,95,130,143,147,191,173,219,235,230,214,189,171,139,139,135,127,121,110,79
Øysand,2018-08-10,2018-08-31,7.707773019271949,7.58,1.4577067833596606,56,77,164,175,208,200,182,226,238,227,211,158,180,155,146,186,174,206,161,146
Øysand,2018-08-31,2018-09-30,7.723206967213115,7.595,1.4815655149865494,61,111,206,239,220,292,247,289,319,276,288,227,207,211,211,199,222,221,216,207
Skibotn,2019-12-31,2020-09-30,8.889298501654018,9.03,1.4303668525132711,81,95,121,127,153,192,151,205,223,252,330,397,465,636,738,824,771,777,749,694
Verdal,2015-05-12,2015-05-31,6.9694836400818,6.98,0.6749511754198637,0,8,55,113,145,193,242,241,248,223,218,143,92,35,0,0,0,0,0,0
Verdal,2015-05-31,2015-06-30,6.970901213171578,7.0,0.6622390351184206,0,10,88,184,278,352,385,423,462,466,370,233,157,54,0,0,0,0,0,0
Verdal,2015-06-30,2015-07-31,6.963818121029756,7.02,0.6743500894555634,0,11,106,152,249,256,346,345,416,374,335,236,116,49,0,0,0,0,0,0
Verdal,2015-07-31,2015-08-31,6.934527486102533,6.96,0.6459021842193202,0,16,93,173,260,326,398,420,407,477,301,228,106,33,0,0,0,0,0,0
Verdal,2015-08-31,2015-09-30,6.9806171428571435,7.01,0.6590880858041508,0,10,114,144,271,336,377,471,496,463,360,251,140,67,0,0,0,0,0,0
Verdal,2015-10-31,2015-11-30,6.862277227722773,6.89,0.6566073814479473,0,36,118,236,309,360,406,435,474,429,318,200,95,18,0,0,0,0,0,0
Verdal,2015-11-30,2015-12-31,6.872715185444367,6.92,0.7018111953155008,0,56,129,177,251,297,283,358,347,354,294,181,96,35,0,0,0,0,0,0
Verdal,2015-12-31,2016-01-31,6.926229508196721,7.0,0.7571296595660099,37,61,106,154,185,244,250,297,353,314,308,199,107,54,15,0,0,0,0,0
Verdal,2016-01-31,2016-02-29,6.998027740189444,7.06,0.7303888433973404,8,50,102,146,199,273,283,334,385,354,360,220,158,58,26,0,0,0,0,0
Verdal,2016-02-29,2016-03-31,7.149260335917313,7.17,0.7107020144996359,0,0,73,124,182,248,302,358,378,350,357,348,205,128,43,0,0,0,0,0
Verdal,2016-04-30,2016-05-31,7.3023450824332015,7.31,0.7452886230372401,0,0,37,88,194,242,341,332,416,396,406,352,305,236,119,54,0,0,0,0
Ånestad(østgående),2022-10-13,2022-10-20,7.1304869251578,7.09,0.7137727504458289,0,7,16,35,52,102,154,133,138,116,109,101,73,48,23,2,0,0,0,0
Ånestad(vestgående),2022-10-13,2022-10-20,7.4446791226645,7.42,0.7502744952615743,0,0,2,14,40,70,111,152,140,138,119,126,103,100,69,30,17,0,0,0
